-40	-6	51
40	-8	52
-19	35	42
20	31	44
-18	47	-13
17	48	-14
-34	33	35
37	33	34
-32	50	-10
32	53	-11
-49	13	19
49	15	21
-47	30	14
49	30	14
-37	31	-12
40	32	-12
-48	-8	14
52	-6	15
-6	5	61
8	0	62
-9	15	-12
8	16	-11
-6	49	31
8	51	30
-6	54	-7
7	52	-7
-6	37	-18
7	36	-18
-36	7	3
38	6	2
-5	35	14
7	37	16
-6	-15	42
7	-9	40
-6	-43	25
6	-42	22
-26	-21	-10
28	-20	-10
-22	-16	-21
24	-15	-20
-24	-1	-17
26	1	-18
-8	-79	6
15	-73	9
-7	-80	27
13	-79	28
-16	-68	-5
15	-67	-4
-18	-84	28
23	-81	31
-33	-81	16
36	-80	19
-37	-78	-8
37	-82	-8
-32	-40	-20
33	-39	-20
-43	-23	49
40	-25	53
-24	-60	59
25	-59	62
-44	-46	47
45	-46	50
-57	-34	30
57	-32	34
-45	-61	36
45	-60	39
-8	-56	48
9	-56	44
-9	-25	70
6	-32	68
-12	11	9
14	12	9
-25	4	2
27	5	2
-19	0	0
20	0	0
-12	-18	8
12	-18	8
-43	-19	10
45	-17	10
-54	-21	7
57	-22	7
-41	15	-20
47	15	-17
-57	-34	-2
56	-37	-1
-37	15	-34
43	15	-32
-51	-28	-23
53	-31	-22
-36	-67	-29
37	-67	-30
-29	-73	-38
32	-69	-40
-9	-37	-19
12	-34	-19
-15	-43	-17
17	-43	-18
-23	-59	-22
25	-58	-24
-33	-60	-43
35	-64	-47
-26	-55	-48
25	-56	-49
-11	-49	-46
9	-49	-46
-23	-34	-42
26	-34	-41
1	-39	-20
1	-40	-11
1	-52	-6
1	-67	-15
1	-72	-25
1	-64	-34
1	-55	-35
0	-46	-32
-25	-67	48
23	-69	49
-26	-12	53
30	-13	53
-43	-72	-8
42	-70	-11
41	17	31
41	2	50
52	-48	28
58	-48	10
40	21	-4
-43	-76	35
51	-64	32
-3	-54	31
-2	51	2
-13	52	23
2	53	24
-57	-25	-17
57	-25	-17
-3	-101	-1
11	-88	-4
-8	-99	7
14	-96	13
-9	-96	13
20	-95	18
-31	-77	-17
27	-71	-14
-23	-78	26
32	-78	25
-60	-28	24
35	-26	55
-37	-19	53
57	-28	23
-1	-17	55
4	-15	53
-30	-18	10
30	-17	9
-44	23	15
-50	-54	22
-56	-12	-3
-44	21	24
-43	20	4
-55	-48	15
12	32	30
-13	34	16
10	34	16
-42	6	4
43	7	2
